full_text,positive_score,negative_score,booster_score,negation_score,policy_score,confidence,suggestion,need_review,positive_words,negative_words,booster_words,negation_words,policy_words,final_label
prabs bilang tidak mungkin terjadi pertumbuhan ekonomi dan investasi tanpa kepastian hukum tidak mungkin ada keadilan tanpa pemerintah yang bersih dan kompeten tidak mungkin ada negara yang kuat kalau aparat negara tidak melindungi rakyat nah itu tau semua kocak,10.0,11.0,0,4,3,0.7146,negative,False,"mungkin, terjadi, hukum, mungkin, ada, keadilan, bersih, mungkin, ada, kuat","tanpa, tanpa, yang, yang, kalau, aparat, melindungi, itu, tau, semua, kocak",,"tidak, tidak, tidak, tidak","ekonomi, negara, negara",
gila ya menggratiskan ukt ptn se indonesia ternyata hanya butuh setara minggu mbg ternyata negara kita tuh ada duitnya cuman yha,4.0,2.0,0,0,2,0.8614,positive,False,"gila, ya, setara, ada","hanya, butuh",,,"ukt, negara",
hari mahasiswa demo kali rupiah menguat lebih berguna demo mahasiswa daripada ratusan menteri dan satu presiden goblok,4.5,3.5,1,0,5,0.8476,positive,False,"lebih, berguna, satu, presiden","demo, demo, goblok",lebih,,"mahasiswa, rupiah, mahasiswa, menteri, presiden",
pajak buku di indonesia pajak buku di malaysia pajak buku di inggris pajak buku di india di mana bumi dipijak di situ rakyat dipalak,0.0,4.0,0,0,4,1.0,negative,False,,"pajak, pajak, pajak, pajak",,,"pajak, pajak, pajak, pajak",
teddy menjelaskan program pemerintah yakni magang nasional pendaftaran juli penghasilan saat magang bisa rp jt minggu sebelum magang selesai dapat kerja gaji naik jadi juta,7.0,0.0,0,0,0,1.0,positive,False,"pendaftaran, selesai, dapat, kerja, naik, jadi, juta",,,,,
tanggal juli besok insyaallah adalah hari terakhir kami bersidang di mk sebelum indonesia bangkrut dan profesi guru punah kita menangkan gugatan ini ya dan sebelum proyek korup mbg ini makin merusak indonesia diberbagai aspek,4.5,7.5,1,0,0,1.0,negative,False,"insyaallah, guru, ya, makin","tanggal, bangkrut, punah, gugatan, korup, merusak, aspek",makin,,,
jerome polin kembali berikan pendapat dan merasa capek tiap hari liat berita buruk melalui akun sosmed nya ia bilang jujur at this point aku bingung kita sebagai rakyat tuh bisa apa sih speak up di sosmed udah tidak didenger dilawan pake buzzer lagi demo udah tidak ada,5.0,11.0,0,2,0,1.0,negative,False,"capek, liat, melalui, jujur, aku","kembali, pendapat, merasa, berita, buruk, bingung, sebagai, apa, lagi, demo, ada",,"tidak, tidak",,
pernyataan menteri ham natalius pigai soal lgbt langsung memicu gempa di media sosial pigai menyebut bahwa masyarakat indonesia saat ini cuma belum siap menerima keberadaan lgbt secara sosial dan hukum tapi pigai pasang badan soal hak dasar menurutnya urusan status,8.0,5.0,0,1,3,1.0,positive,False,"langsung, gempa, sosial, menyebut, menerima, sosial, hukum, pasang","soal, cuma, siap, badan, soal",,belum,"menteri, sosial, sosial",
isi yapping prabowo hari ini di gorontalo absen pejabat menit saudara saudara sekalian saya sudah cukup lama berjuang bersama petani dan nelayan seluruh indonesia saudara saudara sekalian tidak ada negara maju tanpa ada petani makmur saya siap di panggil,9.0,8.0,0,1,1,0.709,positive,False,"isi, sudah, cukup, berjuang, bersama, maju, ada, makmur, siap","absen, pejabat, saya, lama, ada, tanpa, saya, panggil",,tidak,negara,
bolak balik dipenjara sekarang jadi menteri kapan terakhir dipenjara sementara rakyat harus urus skck batas umur syarat ijazah syarat bejibun lainnya belum tentu juga lolos kerja,4.0,5.0,0,1,1,0.6865,negative,False,"jadi, umur, tentu, kerja","balik, sementara, harus, batas, lolos",,belum,menteri,
pramono anung beasiswa kjmu diperluas untuk s dan s,0.0,0.0,0,0,0,0.45,neutral,True,,,,,,
jadi ada seorg ibu yang bekerja sampai tengah malam dengan berjualan es teh di manggarai si ibu bawa anaknya yang berumur th anaknya main ke area tertutup lalu masuk ke lubang galian proyek pembangunan multifungsi si anak meninggal saya tidak mau menyalahkan si ibu karena menurut saya,10.0,15.0,0,1,0,1.0,negative,False,"jadi, ada, bekerja, sampai, tengah, teh, bawa, main, lalu, menurut","yang, malam, yang, berumur, tertutup, masuk, lubang, galian, anak, meninggal, saya, mau, menyalahkan, karena, saya",,tidak,,
rakyat jelata apply kerja di bumn syaratnya gila minimal s lulusan ptn ternama ipk pengalaman kerja tahun fasih bahasa asing umur maksimal tahun harus menguasai elemen bumi air api udara bisa mengalahkan raja api ozai gaji umr,11.0,7.0,0,0,0,1.0,positive,False,"kerja, gila, pengalaman, kerja, fasih, umur, maksimal, menguasai, api, mengalahkan, api","jelata, minimal, bahasa, asing, harus, air, udara",,,,
pemerintah hadirkan guru untuk sidang di mk bela mbg akui hadir dengan tulus tanpa di bayar gaji guru tidak dipotong semua tetap terima gaji dan tunjangan penuh jam belajar tidak terganggu distribusi mbg lewat guru piket makan di jam makan siang kehadiran siswa,18.0,4.0,0,2,0,1.0,positive,False,"guru, sidang, hadir, tulus, bayar, guru, tetap, terima, penuh, belajar, terganggu, distribusi, lewat, guru, makan, makan, kehadiran, siswa","tanpa, semua, tunjangan, piket",,"tidak, tidak",,
breaking news pertama kali sejak covid indonesia defisit neraca perdagangan besarnya ngk nangung milyar dollar setara hampir triliun rupiah hanya dalam waktu sebulan siap siap,4.0,3.0,0,0,1,0.69,positive,False,"setara, dalam, siap, siap","defisit, hampir, hanya",,,rupiah,
momen ahli mbg kena skakmat hakim ahli mbg dpr parulian yang mulia di finlandia dan swedia makan siang gratis itu hak subjektif setiap siswa didanai penuh oleh pajak di inggris hanya untuk kelompok penerima manfaat tertentu prancis dan italia mengombinasikan subsidi,10.0,7.0,0,0,3,1.0,positive,False,"ahli, ahli, mulia, makan, gratis, siswa, penuh, penerima, manfaat, subsidi","kena, yang, itu, didanai, pajak, hanya, kelompok",,,"dpr, pajak, subsidi",
piutang pln ke pemerintah naik artinya pemerintah nunggak bayar ke pln sehingga pln tidak punya duit tidak punya duit sehingga tidak bisa beki batubara tidak bisa beli batubara suplai listrik berkurang siap menyala bergilir bukan pemadaman bergilir dari foto laporan,7.0,5.0,0,5,0,0.725,positive,False,"naik, bayar, beli, suplai, siap, menyala, foto","punya, punya, berkurang, dari, laporan",,"tidak, tidak, tidak, tidak, bukan",,
beasiswa yang masih buka,1.0,1.0,0,0,0,0.575,neutral,True,buka,yang,,,,
purbaya presiden itu pinter banget inget angka angka yang kita sebutkan jadi saya gaboleh ngibul densu tapi kok bisa dikibulin pak dadang kepala bgn yang tertangkap korupsi purbaya bukan dikibulin dia tau dia hatinya baik hehe sapuin terus pak,5.5,9.5,1,1,2,1.0,negative,False,"presiden, pinter, banget, jadi, baik","itu, yang, saya, gaboleh, yang, korupsi, dia, tau, dia",banget,bukan,"presiden, korupsi",
isi yapping prabowo dalam hut bhayangkara sambutan pejabat yang hadir menit saudara sudara sekalian polri hadir untuk rakyat polri harus mengabdi kepada rakyat polri harus jadi contoh bagi rakyat tidak mungkin ada negara maju tanpa ada kepastian hukum tidak,13.0,6.0,0,2,1,1.0,positive,False,"isi, dalam, sambutan, hadir, hadir, jadi, contoh, bagi, mungkin, ada, maju, ada, hukum","pejabat, yang, harus, mengabdi, harus, tanpa",,"tidak, tidak",negara,
list yang tidak bayar pajak di indonesia ditanggung apbn presiden dan wakil presiden menteri dan wakil menteri anggota dpr ri anggota dpd ri hakim pejabat negara lainnya yang diatur dalam peraturan perundang undangan asn pns dan pk anggota tni,4.0,8.0,0,1,8,1.0,negative,False,"presiden, presiden, dalam, undangan","yang, bayar, pajak, anggota, anggota, pejabat, yang, anggota",,tidak,"pajak, apbn, presiden, presiden, menteri, menteri, dpr, negara",
rektor itb ke komisi x dpr kami cuma dibiayai apbn ukt sisanya cari sendiri ini kami sangat berat di malaysia kampus dibiayai apbn di china di singapura anggarannya x itb dari apbn kita kaya kampus di amerika yang cuma apbn,3.5,7.5,1,0,8,1.0,negative,False,"komisi, sangat, kaya","cuma, cari, sendiri, berat, dari, yang, cuma",sangat,,"dpr, apbn, ukt, kampus, apbn, apbn, kampus, apbn",
bahlil ngamuk ditanyain kapan harga pertamax turun minyak dunia naik bulan kemarin harga bbm tidak kita naikan sekarang pertamax naik baru minggu udah di tanya kapan turun we are finished bahlil lupa gajinya berasal dari mana gaya sok sok an lagi,9.0,6.0,0,1,1,0.9915,positive,False,"harga, turun, dunia, naik, harga, naik, tanya, turun, lupa","bulan, berasal, dari, sok, sok, lagi",,tidak,bbm,
peringatan darurat jabat menteri dan staf khusus tapi masih saja jadi komisaris serakahh woyy serakah anjj double gaji double tunjangan dan double fasilitas tapi pemerintah bilang nya efisiensi fak,4.0,5.0,0,0,2,0.7176,negative,False,"darurat, khusus, jadi, fasilitas","peringatan, jabat, saja, serakah, tunjangan",,,"menteri, efisiensi",
ukt rata rata jt triliun ukt rata rata jt triliun ukt rata rata jt triliun tapi tetap worth it setahun,7.0,0.0,0,0,3,1.0,positive,False,"rata, rata, rata, rata, rata, rata, tetap",,,,"ukt, ukt, ukt",
bentar ini kok yel yel sppi bela negara tolong jelasin bela negara di bagian yang mana kopdes juga banyakan yang ditengah hutan atau konsepnya mau nyebut bela pemerintah rada tidak enak didenger jadi disamarkan,4.0,5.0,0,1,2,0.6862,negative,False,"tolong, hutan, mau, jadi","bagian, yang, yang, nyebut, enak",,tidak,"negara, negara",
pendapatan negara dari pajak dimana pajak di pake buat nge gaji pejabat dan bisa bisanya presiden menye menye purbaya memang kamu bos saya,5.0,5.0,0,0,4,0.6387,neutral,True,"pendapatan, buat, presiden, memang, bos","dari, pajak, pajak, pejabat, saya",,,"negara, pajak, pajak, presiden",
nyesak bos stop foya keluar negeri rampingkan kabinet pecat menteri pejabat tinggi stop mbg goblok itu tarik kembali uang pajak rakyat di danantara hentikan kekuasaan dayang spri,5.0,8.0,0,0,4,1.0,negative,False,"bos, stop, tinggi, stop, tarik","keluar, kabinet, pecat, pejabat, goblok, itu, kembali, pajak",,,"kabinet, menteri, pajak, danantara",
konferensi republik dibatalkan di kampus ui beberapa jam sebelum acara ini mengapa kita tak bisa terlalu naif melihat menteri dan totpol di ugm itu beneran mau buka ruang dialog yang demokratis,6.5,5.5,1,1,2,0.7468,positive,False,"konferensi, melihat, beneran, mau, buka, dialog","terlalu, naif, itu, ruang, yang",terlalu,tak,"kampus, menteri",
tuntutan keliru mahasewa propaganda mahasiswa viralvideo kdmbapakaing presiden,2.0,1.0,0,0,2,0.7338,positive,False,"keliru, presiden",propaganda,,,"mahasiswa, presiden",
tapi lagaknya kayak yang paling ngerti pertahanan intelijen geopolitik antek asing dan saya tahu yang biayai demo intelnya sendiri kerjanya nyiram air keras ke sipil,3.5,10.5,1,0,0,1.0,negative,False,"ngerti, intelijen, tahu","kayak, yang, antek, asing, saya, yang, demo, sendiri, air, keras",paling,,,
ibarat kamu lebih percaya prabowo bilang mbg itu terlaksana dengan baik daripada percaya murid pada keracunan dari pernyataan murid dan gurunya sendiri,6.5,5.5,1,0,0,0.7664,positive,False,"lebih, percaya, baik, percaya, murid, murid","itu, pada, keracunan, dari, sendiri",lebih,,,
ini saya kasih subtitle bahasa indonesia tiga bank internasional menarik uang triliun rupiah ke negaranya,2.0,2.0,0,0,1,0.5367,neutral,True,"kasih, menarik","saya, bahasa",,,rupiah,
suhardiman amby waktu debat calon bupati kuantan singingi riau jika masih ada korupsi kita harus tampil selayaknya panglima siapkan tiang gantungan tiga buah satu untuk dia satu untuk ayahnya satu untuk siapa yang melakukan tindakan korupsi ini tidak main main ini,12.0,6.0,0,1,2,1.0,positive,False,"debat, ada, tampil, selayaknya, panglima, buah, satu, satu, satu, siapa, tindakan, main","korupsi, harus, dia, yang, korupsi, main",,tidak,"korupsi, korupsi",
siapa saja tokoh yang berada di lingkar bisnis raffi ahmad penelusuran kami menemukan sedikitnya individu yang terindikasi sebagai politically exposed person pep lihat daftar lengkapnya dan baca liputan investigasi selengkapnya,10.0,5.0,0,0,0,1.0,positive,False,"siapa, tokoh, berada, bisnis, menemukan, lihat, daftar, baca, liputan, selengkapnya","saja, yang, lingkar, yang, sebagai",,,,
pemerintah sadar tidak sih kalau keadaan di masyarakat sekarang udah se chaos ini kita yang di lapangan malah jadi sasaran semprot penolakan dibentak dikejar anjing sampai dihujat padahal kita sama sama cuma cari rezeki yang halal sampai aku nangis orang tuaku,10.0,9.0,0,1,0,0.6959,positive,False,"sadar, lapangan, jadi, sampai, sama, sama, rezeki, halal, sampai, aku","kalau, yang, semprot, penolakan, anjing, cuma, cari, yang, nangis",,tidak,,
efek mbg libur ke harga bahan pokok telur biasanya k tembus sampai k sawi ijo biasanya k jadi k per kg labu siam k perkilo ayam biasanya k bisa jadi k cabe setan k jadi k brokoli k perkilo bawang merah sempat naik k jadi k sekilo kalo,12.0,4.0,0,0,0,1.0,positive,False,"efek, libur, harga, pokok, tembus, sampai, jadi, jadi, jadi, merah, naik, jadi","bahan, labu, cabe, setan",,,,
pt pertamina international shipping pis perusahaan pelayaran bumn yang mengangkut energi seluruh indonesia dewan komisarisnya a wakil menteri luar negeri aktif b deputi kemensetneg eselon i aktif c tenaga ahli menteri esdm aktif d asisten deputi sdm,7.0,2.0,0,0,2,1.0,positive,False,"perusahaan, energi, aktif, aktif, tenaga, ahli, aktif","yang, dewan",,,"menteri, menteri",
menghadapi jalanan rusak pejabatnya beli mobil harga miliaran rupiah pake duit rakyat rakyatnya naik motor batok geter yang rodanya goal geol dari sini kita bisa menilai selain ada kerusakan jalan raya otak pejabat juga ternyata rusak,8.0,7.0,0,0,1,0.7242,positive,False,"rusak, beli, mobil, harga, naik, ada, otak, rusak","menghadapi, jalanan, yang, dari, menilai, kerusakan, pejabat",,,rupiah,
prabowo catat rekam kalau prabowo subianto jadi presiden indonesia kesehatan gratis subsidi listrik subsidi bbm sekolah gratis mbg angkutan kota kota besar kita kasih subsidi sebanyak itu yang realisasi cuma mbg karna cuan besar dan menguntungkan rekan sejawat,16.0,6.0,0,0,5,1.0,positive,False,"rekam, jadi, presiden, kesehatan, gratis, subsidi, subsidi, sekolah, gratis, besar, kasih, subsidi, realisasi, besar, menguntungkan, rekan","kalau, kota, kota, itu, yang, cuma",,,"presiden, subsidi, subsidi, bbm, subsidi",
